OBJECTID,BLOCKNUM,InternalFloorArea,FullTimeEmployees,PartTimeEmployees,TotalEmployees,Businesses,Shape__Area,Shape__Length
1,239,20057.401903,175,22,197,3,4.15040403822786e-06,0.0114472956306342
2,98,94800.7072661,2391,99,2490,50,5.29114004166331e-07,0.00317873207452398
3,97,121991.906742,2242,302,2544,129,9.54623828874901e-07,0.00391898878266069
4,96,129656.56172,1735,428,2163,144,9.81300672719954e-07,0.00396437523535311
5,39,151445.192788,3481,146,3627,38,7.23805896996055e-07,0.00352301447924607
6,38,16930.0807856,579,31,610,1,2.69169959210558e-07,0.00205773547495593
7,37,13588.588715,415,0,415,1,3.22718278766843e-07,0.00227319300150302
8,36,50510.8776161,1369,119,1488,154,3.49609763361514e-07,0.00258129754826182
9,35,117926.478029,4393,233,4626,39,9.62406375037972e-07,0.00400792079768846
10,34,146575.41982,2602,180,2782,37,1.26274062495213e-06,0.00477382637454464
11,33,25213.1651175,796,72,868,39,3.88594799005659e-07,0.00245942810678853
12,32,72825.8974801,213,251,464,8,8.52361608849606e-07,0.00385537162116922
13,31,123867.963087,4556,108,4664,51,7.97302163846325e-07,0.00387956472105929
14,30,53628.3903382,748,236,984,102,7.24106484994991e-07,0.00398946102652306
15,29,190094.271439,2900,416,3316,133,2.19092589759384e-06,0.00614387721941761
16,27,71023.4149075,944,120,1064,16,9.78115622274345e-07,0.0045111191038268
17,26,136534.777096,3409,205,3614,37,7.51509105612058e-07,0.00379697329752747
18,25,62764.1122055,469,110,579,6,5.48145635548281e-07,0.00343880144940304
19,24,6839.91557853,75,40,115,14,3.50867594534066e-07,0.00347679281851778
20,23,72351.2981295,313,54,367,24,2.17283741221763e-07,0.00212190352364311
21,22,61762.7031262,156,158,314,4,4.1555767893442e-07,0.0027648370442928
22,21,125112.589696,834,168,1002,40,1.68737687999965e-06,0.00873569046923317
23,20,26540.7448271,237,66,303,42,3.04631703329505e-06,0.0178175829894388
24,19,19122.9822279,360,137,497,41,7.63389834901318e-07,0.00405070484051251
25,18,35047.069762,850,77,927,35,8.56884071254171e-07,0.00483699567868314
26,17,6706.60492539,18,31,49,3,1.18893649414531e-06,0.00482120784481949
27,16,32619.0972967,364,178,542,31,1.37824235935113e-06,0.00544198029888889
28,15,18482.7857248,138,172,310,40,8.35837454360444e-07,0.00374071962987168
29,14,10332.3688083,65,48,113,9,5.53329755348386e-07,0.0040931249802055
