OBJECTID,BLOCKNUM,BLOCKTXT,Total_FullTime_Jobs,Total_PartTime_Jobs,Total_Jobs,Businesses,Internal_FloorArea,PERIMETER,Shape__Area,Shape__Length
1,33,33,1070,215,1285,37,23459.28691,254.514,3.89E-07,0.002456337
2,34,34,5586,492,6078,70,134876.403,494.335,1.39E-06,0.005033575
3,38,38,0,0,0,0,0,211.026,2.69E-07,0.002057536
4,86,86,875,298,1173,71,66402.14029,447.746,7.48E-07,0.004187652
5,88,88,377,805,1182,154,57253.40305,428.078,5.17E-07,0.003963137
6,129,129,202,134,336,34,97006.76872,412.11,8.26E-07,0.003914195
7,131,131,212,65,277,15,59829.09246,329.54,4.77E-07,0.003152844
8,153,153,494,170,664,54,58149.10565,481.953,1.10E-06,0.004686204
9,151,151,162,95,257,44,14820.41565,192.675,2.07E-07,0.001910696
10,150,150,37,53,90,10,5233.856962,211.118,1.55E-07,0.002168816
11,152,152,134,78,212,36,15016.55988,232.938,3.21E-07,0.002313071
12,148,148,250,1086,1336,77,132218.3521,513.067,1.43E-06,0.005169818
13,149,149,116,84,200,15,10978.30275,244.667,2.85E-07,0.0023929
14,197,197,0,0,0,0,0,461.072,1.19E-06,0.004487013
15,173,173,87,61,148,9,24619.17993,482.965,1.27E-06,0.004708034
16,198,198,0,6,6,1,26459.23858,505.335,1.29E-06,0.004894292
17,177,177,13,25,38,5,23499.66829,484.297,1.23E-06,0.004722297
18,178,178,55,55,110,8,25037.50822,483.189,1.28E-06,0.004713445
19,183,183,968,422,1390,70,136432.9978,803.543,3.50E-06,0.007741118
20,187,187,379,11,390,5,11631.95688,322.146,6.06E-07,0.003164882
21,188,188,146,0,146,1,18866.96162,558.687,1.93E-06,0.005507719
22,189,189,49,88,137,6,19818.93487,1601.309,1.29E-05,0.015694184
23,190,190,0,0,0,0,0,965.327,1.45E-06,0.009625992
24,192,192,77,45,122,19,69571.90305,502.948,1.42E-06,0.004916066
25,194,194,0,0,0,0,7137.888225,360.309,5.10E-07,0.003463697
26,195,195,28,22,50,7,11520.62414,482.535,1.26E-06,0.004710056
27,193,193,19,16,35,9,25086.3569,497.557,1.21E-06,0.004863226
28,205,205,21,16,37,14,14779.61015,398.486,5.95E-07,0.003818827
29,204,204,33,23,56,12,68185.8405,493.608,7.72E-07,0.004709668
30,203,203,394,23,417,8,56073.20949,451.931,6.78E-07,0.00428928
31,200,200,6,8,14,1,18572.49233,295.247,3.85E-07,0.002823075
32,206,206,283,19,302,32,109553.625,479.254,1.23E-06,0.004667525
33,201,201,6,0,6,1,34442.74255,441.722,1.41E-06,0.005507766
34,202,202,0,0,0,0,0,770.199,1.20E-06,0.007359519
35,210,210,229,96,325,17,38701.49474,364.868,7.13E-07,0.003498767
36,209,209,24,41,65,3,53330.11142,470.378,9.78E-07,0.004535208
37,207,207,51,24,75,7,70463.56574,571.787,1.59E-06,0.005537464
38,208,208,222,10,232,3,6310.692942,235.241,2.32E-07,0.002325637
39,212,212,2683,455,3138,45,77710.14121,504.61,1.55E-06,0.005009156
40,233,233,968,229,1197,92,37612.84572,823.98,2.32E-06,0.007959545
41,216,216,1403,98,1501,23,69247.43455,661.046,1.84E-06,0.006417185
42,213,213,52,0,52,2,5178.324192,236.175,2.53E-07,0.002394867
43,237,237,199,81,280,32,40082.5952,517.3,1.31E-06,0.005261046
44,235,235,4,3,7,3,12565.6534,336.036,4.11E-07,0.003259614
45,236,236,2,0,2,1,39410.45381,482.164,1.33E-06,0.004721142
46,238,238,738,417,1155,17,95014.99588,1435.226,3.48E-06,0.014333648
47,232,232,20,3,23,3,53381.45629,713.05,2.12E-06,0.006803981
48,229,229,67,53,120,19,23351.67934,623.285,1.61E-06,0.005995786
49,217,217,77,84,161,22,18634.03265,465.061,1.27E-06,0.005498859
50,220,220,73,76,149,18,8216.67341,438.78,4.65E-07,0.004152351
51,218,218,63,0,63,2,13226.28531,510.284,9.43E-07,0.004885041
52,230,230,855,516,1371,21,62630.79776,586.214,2.01E-06,0.005898576
53,241,241,158,216,374,15,38792.41371,3078.385,6.61E-06,0.020508566
54,316,316,51,64,115,22,17637.21088,305.688,5.72E-07,0.003053855
55,313,313,0,0,0,0,31371.73092,621.511,1.21E-06,0.00638876
56,318,318,61,65,126,6,17554.25519,317.291,5.54E-07,0.003265162
57,314,314,34,53,87,5,21049.89008,501.187,6.91E-07,0.005157426
58,312,312,0,0,0,0,39540.12053,828.676,1.50E-06,0.00783379
59,311,311,0,0,0,0,7534.495181,269.699,2.92E-07,0.002829386
60,319,319,2,8,10,2,4596.024889,179.164,1.90E-07,0.001754408
61,327,327,19,59,78,9,9396.359421,169.694,1.58E-07,0.001736644
62,333,333,5,15,20,2,10702.62243,242.579,2.37E-07,0.002279393
63,329,329,28,28,56,12,18367.48599,532.683,7.95E-07,0.004983722
64,331,331,16,25,41,3,9240.575592,608.925,7.67E-07,0.005671738
65,330,330,16,2,18,5,11068.44028,241.201,2.61E-07,0.002283366
66,337,337,207,7,214,4,26619.34125,797.065,2.74E-06,0.007547308
67,335,335,6,8,14,2,7406.693001,202.9,1.76E-07,0.001923916
68,332,332,4,4,8,2,25156.04955,593.139,1.07E-06,0.005626054
69,336,336,12,33,45,4,6960.180629,297.225,4.99E-07,0.002980994
70,356,356,3,3,6,1,26691.46086,253.413,4.05E-07,0.002524869
71,355,355,12,15,27,5,7117.327692,233.187,3.23E-07,0.002344315
72,351,351,48,15,63,10,25905.36877,545.968,1.23E-06,0.005162391
73,346,346,0,0,0,0,4193.601329,174.537,1.83E-07,0.001714553
74,345,345,45,19,64,2,3084.092058,274.88,3.34E-07,0.002570142
75,348,348,26,12,38,5,2982.591136,254.086,2.52E-07,0.002010828
76,347,347,14,0,14,2,1797.144483,178.989,3.24E-07,0.002406899
77,349,349,70,2,72,5,11953.40509,500.237,1.13E-06,0.004743523
78,374,374,0,0,0,0,2879.937452,214.679,2.44E-07,0.002078487
79,375,375,20,3,23,3,5388.598109,308.891,5.79E-07,0.003044616
80,376,376,2,1,3,1,8201.59311,378.952,8.19E-07,0.00367132
81,380,380,0,0,0,0,4068.013184,231.385,3.22E-07,0.002329614
82,384,384,26,15,41,8,4322.217376,361.342,6.54E-07,0.003611045
83,383,383,88,55,143,16,15699.10822,511.524,1.41E-06,0.00505669
84,382,382,10,19,29,1,22300.19008,816.712,1.36E-06,0.008596663
85,378,378,0,0,0,0,3151.834355,274.184,3.26E-07,0.002744975
86,379,379,3,6,9,0,19868.2252,584.818,1.73E-06,0.005886761
87,372,372,2,1,3,1,4365.358613,382.265,4.48E-07,0.003987958
88,373,373,243,86,329,18,30925.31916,645.932,1.68E-06,0.006353866
89,381,381,9,2,11,3,16507.67225,562.341,1.45E-06,0.005798752
90,377,377,0,0,0,0,6571.445797,325.99,5.86E-07,0.003142469
91,371,371,51,22,73,10,19320.80321,587.684,1.44E-06,0.005909303
92,411,411,42,41,83,6,41717.69088,1054.363,5.73E-06,0.010356956
93,408,408,11,12,23,9,89374.51067,853.513,3.23E-06,0.008375433
94,432,432,61,28,89,13,7883.793463,241.208,2.21E-07,0.002288897
95,431,431,36,18,54,14,8469.666274,291.43,4.79E-07,0.002817625
96,438,438,79,25,104,7,64328.69828,784.098,3.21E-06,0.007750662
97,445,445,19,14,33,13,17802.34508,449.997,1.01E-06,0.004275905
98,446,446,74,19,93,26,21213.73868,324.834,6.23E-07,0.003172133
99,447,447,25,19,44,7,11159.10075,427.029,9.54E-07,0.004081487
100,448,448,28,13,41,7,8399.587552,423.174,9.18E-07,0.004047917
101,450,450,63,10,73,8,17090.46313,432.793,9.65E-07,0.004143108
102,449,449,119,50,169,12,17685.37809,429.785,9.55E-07,0.004116902
103,469,469,188,216,404,38,30919.36688,373.8,7.57E-07,0.003618072
104,467,467,430,64,494,38,59480.53962,323.598,6.25E-07,0.003240979
