Num,BLOCKNUM,Total_FullTime_Jobs,Total_PartTime_Jobs,Total_Jobs,Businesses,Internal_FloorArea,PERIMETER,Shape__Area,Shape__Length,suburb,jobs_sqm
1,33,1070,215,1285,37,23459.28691,254.514,0.000000389,0.002456337,"Sydney CBD",0.05
2,34,5586,492,6078,70,134876.403,494.335,0.00000139,0.005033575,"Sydney CBD",0.05
3,38,0,0,0,0,0,211.026,0.000000269,0.002057536,"Sydney CBD",0
4,86,875,298,1173,71,66402.14029,447.746,0.000000748,0.004187652,"Sydney CBD",0.02
5,88,377,805,1182,154,57253.40305,428.078,0.000000517,0.003963137,"Sydney CBD",0.02
6,129,202,134,336,34,97006.76872,412.11,0.000000826,0.003914195,"Sydney CBD",0
7,131,212,65,277,15,59829.09246,329.54,0.000000477,0.003152844,"Sydney CBD",0
8,153,494,170,664,54,58149.10565,481.953,0.0000011,0.004686204,"Sydney CBD",0.01
9,151,162,95,257,44,14820.41565,192.675,0.000000207,0.001910696,"Sydney CBD",0.02
10,150,37,53,90,10,5233.856962,211.118,0.000000155,0.002168816,"Sydney CBD",0.02
11,152,134,78,212,36,15016.55988,232.938,0.000000321,0.002313071,"Sydney CBD",0.01
12,148,250,1086,1336,77,132218.3521,513.067,0.00000143,0.005169818,"Sydney CBD",0.01
13,149,116,84,200,15,10978.30275,244.667,0.000000285,0.0023929,"Sydney CBD",0.02
14,197,0,0,0,0,0,461.072,0.00000119,0.004487013,"Sydney CBD",0
15,173,87,61,148,9,24619.17993,482.965,0.00000127,0.004708034,"Sydney CBD",0.01
16,198,0,6,6,1,26459.23858,505.335,0.00000129,0.004894292,"Sydney CBD",0
17,177,13,25,38,5,23499.66829,484.297,0.00000123,0.004722297,"Sydney CBD",0
18,178,55,55,110,8,25037.50822,483.189,0.00000128,0.004713445,"Sydney CBD",0
19,183,968,422,1390,70,136432.9978,803.543,0.0000035,0.007741118,"Sydney CBD",0.01
20,187,379,11,390,5,11631.95688,322.146,0.000000606,0.003164882,"Sydney CBD",0.03
21,188,146,0,146,1,18866.96162,558.687,0.00000193,0.005507719,"Sydney CBD",0.01
22,189,49,88,137,6,19818.93487,1601.309,0.0000129,0.015694184,"Sydney CBD",0.01
23,190,0,0,0,0,0,965.327,0.00000145,0.009625992,"Sydney CBD",0
24,192,77,45,122,19,69571.90305,502.948,0.00000142,0.004916066,"Sydney CBD",0
25,194,0,0,0,0,7137.888225,360.309,0.00000051,0.003463697,"Sydney CBD",0
26,195,28,22,50,7,11520.62414,482.535,0.00000126,0.004710056,"Sydney CBD",0
27,193,19,16,35,9,25086.3569,497.557,0.00000121,0.004863226,"Sydney CBD",0
28,205,21,16,37,14,14779.61015,398.486,0.000000595,0.003818827,"Sydney CBD",0
29,204,33,23,56,12,68185.8405,493.608,0.000000772,0.004709668,"Sydney CBD",0
30,203,394,23,417,8,56073.20949,451.931,0.000000678,0.00428928,"Sydney CBD",0.01
31,200,6,8,14,1,18572.49233,295.247,0.000000385,0.002823075,"Sydney CBD",0
32,206,283,19,302,32,109553.625,479.254,0.00000123,0.004667525,"Sydney CBD",0
33,201,6,0,6,1,34442.74255,441.722,0.00000141,0.005507766,"Sydney CBD",0
34,202,0,0,0,0,0,770.199,0.0000012,0.007359519,"Sydney CBD",0
35,210,229,96,325,17,38701.49474,364.868,0.000000713,0.003498767,"Sydney CBD",0.01
36,209,24,41,65,3,53330.11142,470.378,0.000000978,0.004535208,"Sydney CBD",0
37,207,51,24,75,7,70463.56574,571.787,0.00000159,0.005537464,"Sydney CBD",0
38,208,222,10,232,3,6310.692942,235.241,0.000000232,0.002325637,"Sydney CBD",0.04
39,212,2683,455,3138,45,77710.14121,504.61,0.00000155,0.005009156,"Sydney CBD",0.04
40,233,968,229,1197,92,37612.84572,823.98,0.00000232,0.007959545,"Sydney CBD",0.03
41,216,1403,98,1501,23,69247.43455,661.046,0.00000184,0.006417185,"Sydney CBD",0.02
42,213,52,0,52,2,5178.324192,236.175,0.000000253,0.002394867,"Sydney CBD",0.01
43,237,199,81,280,32,40082.5952,517.3,0.00000131,0.005261046,"Sydney CBD",0.01
44,235,4,3,7,3,12565.6534,336.036,0.000000411,0.003259614,"Sydney CBD",0
45,236,2,0,2,1,39410.45381,482.164,0.00000133,0.004721142,"Sydney CBD",0
46,238,738,417,1155,17,95014.99588,1435.226,0.00000348,0.014333648,"Sydney CBD",0.01
47,232,20,3,23,3,53381.45629,713.05,0.00000212,0.006803981,"Sydney CBD",0
48,229,67,53,120,19,23351.67934,623.285,0.00000161,0.005995786,"Sydney CBD",0.01
49,217,77,84,161,22,18634.03265,465.061,0.00000127,0.005498859,"Sydney CBD",0.01
50,220,73,76,149,18,8216.67341,438.78,0.000000465,0.004152351,"Sydney CBD",0.02
51,218,63,0,63,2,13226.28531,510.284,0.000000943,0.004885041,"Sydney CBD",0
52,230,855,516,1371,21,62630.79776,586.214,0.00000201,0.005898576,"Sydney CBD",0.02
53,241,158,216,374,15,38792.41371,3078.385,0.00000661,0.020508566,"Sydney CBD",0.01
54,316,51,64,115,22,17637.21088,305.688,0.000000572,0.003053855,"Pott Point",0.01
55,313,0,0,0,0,31371.73092,621.511,0.00000121,0.00638876,"Pott Point",0
56,318,61,65,126,6,17554.25519,317.291,0.000000554,0.003265162,"Pott Point",0.01
57,314,34,53,87,5,21049.89008,501.187,0.000000691,0.005157426,"Pott Point",0
