blocknum,total_businesses_2007,total_businesses_2012,total_businesses_2017,total_businesses_2022,floorspace_growth_2007_2022_pct,suburb
1,5,9,13,13,160.0%,"Sydney CBD"
2,4,8,7,5,25.0%,"Sydney CBD"
4,2,2,2,2,0.0%,"Sydney CBD"
5,26,28,29,26,0.0%,"Sydney CBD"
6,4,3,7,3,-25.0%,"Sydney CBD"
7,1,1,1,0,0.0%,"Sydney CBD"
8,4,4,1,1,-75.0%,"Sydney CBD"
9,12,13,13,11,-8.3%,"Sydney CBD"
10,20,20,23,17,-15.0%,"Sydney CBD"
11,126,129,141,132,4.8%,"Sydney CBD"
12,15,20,25,26,73.3%,"Sydney CBD"
13,4,4,0,0,-100.0%,"Sydney CBD"
14,9,12,8,8,-11.1%,"Sydney CBD"
15,40,39,47,46,15.0%,"Sydney CBD"
16,31,41,34,30,-3.2%,"Sydney CBD"
17,3,7,7,7,133.3%,"Sydney CBD"
18,35,26,34,31,-11.4%,"Sydney CBD"
19,41,37,42,36,-12.2%,"Sydney CBD"
20,42,42,52,53,26.2%,"Sydney CBD"
21,40,73,37,38,-5.0%,"Sydney CBD"
22,4,4,6,6,50.0%,"Sydney CBD"
23,24,25,37,34,41.7%,"Sydney CBD"
24,14,17,10,12,-14.3%,"Sydney CBD"
25,6,12,14,13,116.7%,"Sydney CBD"
26,37,39,76,69,86.5%,"Sydney CBD"
27,16,18,50,48,200.0%,"Sydney CBD"
28,238,276,221,103,-56.7%,"Sydney CBD"
29,133,186,193,187,40.6%,"Sydney CBD"
30,102,91,91,18,-82.4%,"Sydney CBD"
31,51,41,48,28,-45.1%,"Sydney CBD"
32,8,12,15,16,100.0%,"Sydney CBD"
33,39,25,40,37,-5.1%,"Sydney CBD"
34,37,31,72,70,89.2%,"Sydney CBD"
35,39,44,61,70,79.5%,"Sydney CBD"
36,154,147,225,195,26.6%,"Sydney CBD"
37,1,1,1,0,0.0%,"Sydney CBD"
38,1,1,3,0,0.0%,"Sydney CBD"
39,38,45,103,105,176.3%,"Sydney CBD"
40,155,190,248,244,57.4%,"Sydney CBD"
41,86,102,109,104,20.9%,"Sydney CBD"
42,70,83,87,96,37.1%,"Sydney CBD"
43,340,175,298,207,-39.1%,"Sydney CBD"
44,88,76,158,152,72.7%,"Sydney CBD"
45,140,134,134,135,-3.6%,"Sydney CBD"
46,157,157,156,154,-1.9%,"Sydney CBD"
47,14,17,25,32,128.6%,"Sydney CBD"
48,46,61,92,93,102.2%,"Sydney CBD"
49,20,38,25,21,5.0%,"Sydney CBD"
50,32,38,51,50,56.3%,"Sydney CBD"
51,112,132,141,130,16.1%,"Sydney CBD"
52,29,36,7,15,-48.3%,"Sydney CBD"
53,192,237,118,114,-40.6%,"Sydney CBD"
54,362,476,508,423,16.9%,"Sydney CBD"
55,321,375,404,397,23.7%,"Sydney CBD"
56,46,45,3,2,-95.7%,"Sydney CBD"
