blocknum,total_space_2007,total_space_2012,total_space_2017,total_space_2022,floorspace_growth_2007_2022_pct,suburb
1,26763.2990077,26762.3196802,26894.51858407,26985.17752,0.8%,"Sydney CBD"
2,17021.6482408,17094.4694112,15642.81519541,15385.33125,-9.6%,"Sydney CBD"
4,14216.6460054,14193.4787939,14087.10546427,14195.81618,-0.1%,"Sydney CBD"
5,61379.2330191,72098.8327102,72385.35198327,68535.65043,11.7%,"Sydney CBD"
6,9016.0235422,9329.10137931,10332.95756407,8948.286753,-0.8%,"Sydney CBD"
7,7521.5709979,7521.5709979,7224.09204416,6043.565046,-19.7%,"Sydney CBD"
8,4304.27708042,4304.27706719,4242.99562524,5235.57482,21.6%,"Sydney CBD"
9,27217.5600449,26429.4024949,26707.18038261,26092.48196,-4.1%,"Sydney CBD"
10,52110.1848034,52109.811389,52682.14443673,47631.07961,-8.6%,"Sydney CBD"
11,271099.970515,270554.651312,272419.72172617,254388.7544,-6.2%,"Sydney CBD"
12,20750.8518363,20179.46266,20495.08708627,18994.96309,-8.5%,"Sydney CBD"
13,4694.21810505,4694.22910747,4713.30800953,4713.30801,0.4%,"Sydney CBD"
14,10332.3688083,9715.17914937,10076.2204878,9299.266483,-10%,"Sydney CBD"
15,18482.7857248,18938.2599026,17914.27640392,18034.23016,-2.4%,"Sydney CBD"
16,32619.0972967,32627.9623568,32904.4815294,19905.77364,-39%,"Sydney CBD"
17,6706.60492539,13654.5417595,13737.78531482,11432.42355,70.5%,"Sydney CBD"
18,35047.069762,35059.1077605,35215.22716457,22270.5597,-36.5%,"Sydney CBD"
19,19122.9822279,19096.4684215,19016.01535852,18704.89033,-2.2%,"Sydney CBD"
20,26540.7448271,30080.989383,29682.99491102,24914.10604,-6.1%,"Sydney CBD"
21,125112.589696,125449.472849,128436.10630629,104981.8734,-16.1%,"Sydney CBD"
22,61762.7031262,61762.3661383,61959.26284652,55392.63556,-10.3%,"Sydney CBD"
23,72351.2981295,72317.7654968,72412.33473002,68273.06356,-5.6%,"Sydney CBD"
24,6839.91557853,44009.2790184,44225.15544864,41364.47773,504.8%,"Sydney CBD"
25,62764.1122055,63017.5202358,62870.59915636,58481.7702,-6.8%,"Sydney CBD"
26,136534.777096,138165.639962,142977.86470761,133254.2126,-2.4%,"Sydney CBD"
27,71023.4149075,70430.7605114,71674.83820417,66251.62697,-6.7%,"Sydney CBD"
28,235497.720416,234548.026499,229854.61317224,115547.0545,-50.9%,"Sydney CBD"
29,190094.271439,189958.777757,187515.60699594,169387.4103,-10.9%,"Sydney CBD"
30,53628.3903382,53077.7465275,52699.02477993,25180.12083,-53%,"Sydney CBD"
31,123867.963087,127617.408938,131444.70891202,161952.7915,30.7%,"Sydney CBD"
32,72825.8974801,72614.8841566,73316.39624803,68078.75221,-6.5%,"Sydney CBD"
33,25213.1651175,26250.5918489,25599.01127804,23459.28691,-7%,"Sydney CBD"
34,146575.41982,146854.767818,146654.08408457,134876.403,-8%,"Sydney CBD"
35,117926.478029,116012.798025,117294.54331855,107800.1877,-8.6%,"Sydney CBD"
36,50510.8776161,50320.1457264,50844.16784554,45896.73043,-9.1%,"Sydney CBD"
37,13588.588715,13588.588715,15507.86618185,27293.83774,100.9%,"Sydney CBD"
38,16930.0807856,17003.3491003,16970.1716795,0,-100%,"Sydney CBD"
39,151445.192788,152122.289645,157096.7496209,139777.1833,-7.7%,"Sydney CBD"
40,194133.797428,194707.573528,194993.29784612,180932.829,-6.8%,"Sydney CBD"
41,140821.150116,141771.712457,142587.95249623,131638.4974,-6.5%,"Sydney CBD"
42,106480.658682,105650.738122,99016.08354391,97169.36226,-8.7%,"Sydney CBD"
43,148792.176146,140426.877299,147987.84488355,140264.304,-5.7%,"Sydney CBD"
44,130931.647431,131790.796068,132561.21942226,122392.2127,-6.5%,"Sydney CBD"
45,122528.806556,122410.489789,116668.91724092,116208.4136,-5.2%,"Sydney CBD"
46,143545.81024,143882.289532,143927.7258025,132218.936,-7.9%,"Sydney CBD"
47,45360.6398554,45768.2625248,46291.92825241,42871.4326,-5.5%,"Sydney CBD"
48,93804.3224402,94104.3437039,93941.56039251,87352.37307,-6.9%,"Sydney CBD"
49,133879.340994,140387.753283,143041.56727126,133869.6626,-0%,"Sydney CBD"
50,82645.9520203,82710.9154078,83119.29425282,79134.54139,-4.2%,"Sydney CBD"
51,85548.5165476,86850.2274803,81419.80257255,81645.86689,-4.6%,"Sydney CBD"
52,23469.7498719,23469.7893308,23327.20647563,17113.28912,-27.1%,"Sydney CBD"
