blocknum,fulltime_2007,fulltime_2012,fulltime_2017,fulltime_2022,fulltimejob_growth_2007_2022_pct,suburb
1,12,41,46,52,333.3%,"Sydney CBD"
2,94,128,167,76,-19.1%,"Sydney CBD"
4,1,4,7,11,0.0%,"Sydney CBD"
5,465,1381,1200,1061,128.2%,"Sydney CBD"
6,207,15,291,12,-94.2%,"Sydney CBD"
7,3,3,10,0,-100.0%,"Sydney CBD"
8,159,159,131,10,-93.7%,"Sydney CBD"
9,107,122,99,106,-0.9%,"Sydney CBD"
10,81,78,96,56,-30.9%,"Sydney CBD"
11,4763,5261,5888,5294,11.1%,"Sydney CBD"
12,305,259,458,431,41.3%,"Sydney CBD"
13,55,55,0,0,-100.0%,"Sydney CBD"
14,65,107,78,72,10.8%,"Sydney CBD"
15,138,140,178,226,63.8%,"Sydney CBD"
16,364,588,826,653,79.4%,"Sydney CBD"
17,18,40,40,44,144.4%,"Sydney CBD"
18,850,912,307,344,-59.5%,"Sydney CBD"
19,360,333,101,294,-18.3%,"Sydney CBD"
20,237,327,249,350,47.7%,"Sydney CBD"
21,834,780,264,242,-71.0%,"Sydney CBD"
22,156,164,373,299,91.7%,"Sydney CBD"
23,313,176,260,253,-19.2%,"Sydney CBD"
24,75,64,120,127,69.3%,"Sydney CBD"
25,469,629,538,671,43.1%,"Sydney CBD"
26,3409,3446,5450,5809,70.4%,"Sydney CBD"
27,944,491,690,746,-21.0%,"Sydney CBD"
28,5253,5350,6461,1920,-63.4%,"Sydney CBD"
29,2900,4354,4232,3727,28.5%,"Sydney CBD"
30,748,1000,628,66,-91.2%,"Sydney CBD"
31,4556,4003,4006,3893,-14.6%,"Sydney CBD"
32,213,694,644,552,159.2%,"Sydney CBD"
33,796,744,944,1070,34.4%,"Sydney CBD"
34,2602,5269,4072,5586,114.7%,"Sydney CBD"
35,4393,3398,2375,2221,-49.4%,"Sydney CBD"
36,1369,1274,1940,1745,27.5%,"Sydney CBD"
37,415,279,260,0,-100.0%,"Sydney CBD"
38,579,451,703,0,-100.0%,"Sydney CBD"
39,3481,4024,5616,5629,61.7%,"Sydney CBD"
40,4161,4145,5097,5155,23.9%,"Sydney CBD"
41,4625,4846,4396,2999,-35.2%,"Sydney CBD"
42,1122,1809,1949,1317,17.4%,"Sydney CBD"
43,3216,2498,5003,4182,30.0%,"Sydney CBD"
44,2488,1581,2697,2815,13.1%,"Sydney CBD"
45,2995,3151,4496,4129,37.9%,"Sydney CBD"
46,1988,3236,3767,3635,82.8%,"Sydney CBD"
47,443,479,390,622,40.4%,"Sydney CBD"
48,3462,2748,3028,4046,16.9%,"Sydney CBD"
49,3246,5170,4650,9933,206.0%,"Sydney CBD"
50,2296,2572,2102,2238,-2.5%,"Sydney CBD"
51,1480,1466,3129,2269,53.3%,"Sydney CBD"
52,160,174,48,70,-56.3%,"Sydney CBD"
53,3285,2304,2929,2807,-14.6%,"Sydney CBD"
54,5511,6746,8079,7136,29.5%,"Sydney CBD"
55,6297,6473,5681,5690,-9.6%,"Sydney CBD"
56,2592,580,2079,2027,-21.8%,"Sydney CBD"
57,2730,2168,2676,1611,-41.0%,"Sydney CBD"
58,3634,3552,3693,4576,25.9%,"Sydney CBD"
59,2142,1912,1799,1501,-29.9%,"Sydney CBD"
60,149,149,234,204,36.9%,"Sydney CBD"
61,4492,4575,5051,4000,-11.0%,"Sydney CBD"
62,2703,2049,2066,2810,4.0%,"Sydney CBD"
63,1206,1232,1552,1637,35.7%,"Sydney CBD"
64,825,1189,2010,1206,46.2%,"Sydney CBD"
65,822,746,954,764,-7.1%,"Sydney CBD"
66,2955,2852,3571,3709,25.5%,"Sydney CBD"
67,6441,6073,6104,5664,-12.1%,"Sydney CBD"
68,4273,3086,6429,6805,59.3%,"Sydney CBD"
69,2981,2451,2076,2392,-19.8%,"Sydney CBD"
