blocknum,parttime_2007,parttime_2012,parttime_2017,parttime_2022,parttimejob_growth_2007_2022_pct,suburb
1,5,2,33,40,700.0%,"Sydney CBD"
2,38,27,18,20,-47.4%,"Sydney CBD"
4,19,5,5,15,-21.1%,"Sydney CBD"
5,102,97,161,245,140.2%,"Sydney CBD"
6,66,37,25,19,-71.2%,"Sydney CBD"
7,18,18,10,0,-100.0%,"Sydney CBD"
8,0,0,0,10,0.0%,"Sydney CBD"
9,51,66,45,118,131.4%,"Sydney CBD"
10,43,43,46,74,72.1%,"Sydney CBD"
11,406,247,558,572,40.9%,"Sydney CBD"
12,138,166,129,247,79.0%,"Sydney CBD"
13,131,131,0,0,-100.0%,"Sydney CBD"
14,48,102,34,34,-29.2%,"Sydney CBD"
15,172,161,62,164,-4.7%,"Sydney CBD"
16,178,228,45,160,-10.1%,"Sydney CBD"
17,31,38,40,42,35.5%,"Sydney CBD"
18,77,126,78,129,67.5%,"Sydney CBD"
19,137,48,67,260,89.8%,"Sydney CBD"
20,66,200,111,300,354.5%,"Sydney CBD"
21,168,269,180,473,181.5%,"Sydney CBD"
22,158,155,149,116,-26.6%,"Sydney CBD"
23,54,37,56,54,0.0%,"Sydney CBD"
24,40,1,11,23,-42.5%,"Sydney CBD"
25,110,145,120,222,101.8%,"Sydney CBD"
26,205,235,76,219,6.8%,"Sydney CBD"
27,120,221,221,296,146.7%,"Sydney CBD"
28,184,150,181,439,138.6%,"Sydney CBD"
29,416,348,414,471,13.2%,"Sydney CBD"
30,236,223,329,75,-68.2%,"Sydney CBD"
31,108,111,283,374,246.3%,"Sydney CBD"
32,251,155,131,139,-44.6%,"Sydney CBD"
33,72,79,145,215,198.6%,"Sydney CBD"
34,180,197,91,492,173.3%,"Sydney CBD"
35,233,318,364,394,69.1%,"Sydney CBD"
36,119,133,314,349,193.3%,"Sydney CBD"
37,0,84,108,0,0.0%,"Sydney CBD"
38,31,50,6,0,-100.0%,"Sydney CBD"
39,146,59,368,382,161.6%,"Sydney CBD"
40,224,212,145,184,-17.9%,"Sydney CBD"
41,265,275,348,332,25.3%,"Sydney CBD"
42,277,288,449,516,86.3%,"Sydney CBD"
43,436,259,276,340,-22.0%,"Sydney CBD"
44,79,130,364,508,543.0%,"Sydney CBD"
45,410,431,469,799,94.9%,"Sydney CBD"
46,336,358,402,443,31.8%,"Sydney CBD"
47,137,76,33,158,15.3%,"Sydney CBD"
48,142,163,189,357,151.4%,"Sydney CBD"
49,54,67,146,1853,3331.5%,"Sydney CBD"
50,380,415,341,527,38.7%,"Sydney CBD"
51,117,189,227,302,158.1%,"Sydney CBD"
52,80,98,28,102,27.5%,"Sydney CBD"
53,295,372,183,172,-41.7%,"Sydney CBD"
54,472,755,661,1578,234.3%,"Sydney CBD"
55,469,417,663,1128,140.5%,"Sydney CBD"
56,85,290,185,187,120.0%,"Sydney CBD"
57,1,15,402,187,0.0%,"Sydney CBD"
58,52,263,244,682,1211.5%,"Sydney CBD"
59,323,329,136,318,-1.5%,"Sydney CBD"
60,106,106,40,109,2.8%,"Sydney CBD"
61,1084,742,519,344,-68.3%,"Sydney CBD"
62,217,181,72,192,-11.5%,"Sydney CBD"
63,62,72,101,276,345.2%,"Sydney CBD"
64,89,58,31,159,78.7%,"Sydney CBD"
65,110,106,161,195,77.3%,"Sydney CBD"
66,431,286,318,402,-6.7%,"Sydney CBD"
67,280,336,1286,1144,308.6%,"Sydney CBD"
68,260,239,388,591,127.3%,"Sydney CBD"
69,141,267,429,310,119.9%,"Sydney CBD"
70,85,89,177,368,332.9%,"Sydney CBD"
71,166,160,168,340,104.8%,"Sydney CBD"
72,97,175,0,192,97.9%,"Sydney CBD"
73,386,512,223,507,31.3%,"Sydney CBD"
74,192,252,415,361,88.0%,"Sydney CBD"
75,378,318,440,498,31.7%,"Sydney CBD"
76,337,699,553,953,182.8%,"Sydney CBD"
77,1986,2324,1142,2562,29.0%,"Sydney CBD"
78,1017,709,749,1849,81.8%,"Sydney CBD"
79,256,600,343,500,95.3%,"Sydney CBD"
80,777,853,561,892,14.8%,"Sydney CBD"
81,0,0,2,10,0.0%,"Sydney CBD"
82,84,37,199,192,128.6%,"Sydney CBD"
83,545,555,1060,842,54.5%,"Sydney CBD"
85,106,177,206,282,166.0%,"Sydney CBD"
86,309,250,177,298,-3.6%,"Sydney CBD"
87,237,366,213,486,105.1%,"Sydney CBD"
88,593,388,295,805,35.8%,"Sydney CBD"
89,1765,1699,697,1988,12.6%,"Sydney CBD"
90,995,1040,963,677,-32.0%,"Sydney CBD"
91,278,443,482,580,108.6%,"Sydney CBD"
93,39,116,89,144,269.2%,"Sydney CBD"
94,107,164,217,345,222.4%,"Sydney CBD"
95,76,153,387,462,507.9%,"Sydney CBD"
96,428,503,414,503,17.5%,"Sydney CBD"
97,302,419,321,280,-7.3%,"Sydney CBD"
98,99,155,212,321,224.2%,"Sydney CBD"
100,0,0,52,423,0.0%,"Sydney CBD"
101,3,3,14,20,566.7%,"Sydney CBD"
102,8,3,0,2,-75.0%,"Sydney CBD"
103,25,36,40,107,328.0%,"Sydney CBD"
104,58,59,80,82,41.4%,"Sydney CBD"
105,10,2,1,4,-60.0%,"Sydney CBD"
106,1,12,18,45,0.0%,"Sydney CBD"
108,18,16,42,17,-5.6%,"Sydney CBD"
109,5,5,6,38,660.0%,"Sydney CBD"
110,224,200,129,209,-6.7%,"Sydney CBD"
111,75,183,57,281,274.7%,"Sydney CBD"
113,502,687,709,1208,140.6%,"Sydney CBD"
114,73,117,31,107,46.6%,"Sydney CBD"
115,77,214,37,148,92.2%,"Sydney CBD"
116,205,441,335,650,217.1%,"Sydney CBD"
118,0,89,106,87,0.0%,"Sydney CBD"
119,145,212,370,144,-0.7%,"Sydney CBD"
120,346,435,264,265,-23.4%,"Sydney CBD"
121,132,106,18,275,108.3%,"Sydney CBD"
122,142,87,46,44,-69.0%,"Sydney CBD"
123,341,336,70,229,-32.8%,"Sydney CBD"
124,277,264,292,481,73.6%,"Sydney CBD"
125,106,158,209,926,773.6%,"Sydney CBD"
126,647,917,1211,2038,215.0%,"Sydney CBD"
127,493,462,395,482,-2.2%,"Sydney CBD"
128,184,15,61,61,-66.8%,"Sydney CBD"
129,91,117,62,134,47.3%,"Sydney CBD"
130,97,213,210,239,146.4%,"Sydney CBD"
131,40,51,40,65,62.5%,"Sydney CBD"
132,27,34,72,240,788.9%,"Sydney CBD"
133,2,12,20,26,1200.0%,"Sydney CBD"
135,12,29,55,61,408.3%,"Sydney CBD"
136,199,207,221,250,25.6%,"Sydney CBD"
137,160,355,381,284,77.5%,"Sydney CBD"
138,112,115,189,166,48.2%,"Sydney CBD"
